127.0.0.1 - - [03/May/2020:18:28:19 -0400] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/May/2020:18:28:20 -0400] "GET /spring-mvc-demo/ HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [03/May/2020:18:28:26 -0400] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/May/2020:18:28:44 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8609
0:0:0:0:0:0:0:1 - - [03/May/2020:18:32:02 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [03/May/2020:18:32:07 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [03/May/2020:18:32:12 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [03/May/2020:18:32:14 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [03/May/2020:18:32:21 -0400] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 958
